"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"
"76"	2	2	4	0	2	4	2	4	2	1	0	2	4	2	0	2	2	1	1	2	1	2	0	2
"77"	4	0	3	3	0	2	2	1	2	2	2	2	0	4	2	2	2	0	0	1	0	0	2	0
"78"	2	2	2	2	2	0	1	2	2	3	0	2	3	2	2	2	1	2	2	2	1	4	2	1
"79"	1	1	2	1	1	0	2	0	2	2	2	1	2	0	0	3	3	0	1	2	2	0	2	0
"80"	4	4	0	4	4	4	2	4	1	3	1	1	2	4	4	4	2	2	2	2	4	1	2	2
"81"	4	2	2	2	2	2	4	2	2	4	4	2	1	4	2	4	4	4	3	0	2	2	2	2
"82"	2	1	2	0	4	4	0	0	2	2	1	2	0	4	2	2	2	0	0	1	2	1	2	2
"83"	0	0	2	4	2	0	0	2	0	2	2	1	2	2	2	0	2	2	0	1	1	3	0	0
"84"	2	4	4	4	4	4	3	2	2	2	4	4	3	3	2	2	2	3	1	2	4	2	2	3
"85"	4	2	2	2	1	1	2	1	2	0	0	2	1	2	1	1	2	1	1	0	1	0	1	1
"86"	4	4	0	1	0	2	4	4	0	2	3	0	2	4	2	1	2	4	4	1	2	1	2	1
"87"	2	4	2	4	3	2	1	2	2	4	3	3	2	2	3	4	2	3	2	4	4	3	2	3
"88"	4	0	1	2	4	2	4	4	3	2	1	2	4	2	2	2	2	2	1	2	3	4	2	2
"89"	2	3	4	0	4	3	1	2	3	2	1	0	2	2	2	1	3	2	2	0	1	2	1	1
"90"	3	2	0	3	3	3	2	2	3	1	2	3	1	2	3	1	4	2	3	2	2	2	1	1
"91"	4	4	4	4	4	4	0	4	4	4	4	3	4	4	3	4	3	2	2	2	2	3	2	2
"92"	2	0	2	1	0	1	1	1	1	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0
"93"	3	4	1	2	1	2	1	3	1	0	0	1	3	2	0	2	3	0	3	2	2	2	1	0
"94"	3	4	4	3	2	2	2	4	2	1	4	4	3	2	4	4	3	2	1	4	1	3	3	2
"95"	2	0	2	1	0	4	2	0	2	1	2	2	2	0	1	0	1	2	3	1	0	1	1	1
"96"	4	4	4	1	2	4	4	4	4	4	4	3	3	4	4	4	3	3	2	4	3	2	3	2
"97"	3	4	1	2	4	3	2	1	3	0	4	1	2	2	3	2	4	2	0	2	4	1	1	2
"98"	0	2	3	3	3	3	2	2	2	1	2	0	0	0	3	2	1	2	2	2	1	2	1	2
"99"	2	2	2	0	1	0	1	2	0	2	2	0	2	0	1	2	0	0	0	3	2	0	2	0
"100"	3	0	2	2	2	2	2	0	4	2	0	2	4	0	2	0	0	2	3	0	1	1	3	1
